PE,AT,V,AP,RH,atribute5,atribute6,atribute7,atribute8,atribute9
1017,15,46,44,6,7,68,2,459,62
1013,27,11,66,49,71,39,28,435,79
1006,22,6,69,84,37,79,59,435,13
1003,32,9,72,86,47,54,59,434,78
1009,20,3,47,45,4,77,56,450,6
1008,22,63,70,47,82,27,441,92,
1007,27,6,70,47,72,37,430,82,
1013,14,24,45,1,54,88,68,461,64
1008,25,79,59,43,61,64,3,435,51
1011,8,62,39,54,64,82,86,483,3
1005,30,34,75,8,32,52,97,437,26
1020,23,55,62,96,16,70,16,447,65
1016,26,21,65,12,6,44,31,444,44
1017,12,89,48,14,48,83,95,463,77
1013,25,68,58,41,71,70,61,440,78
1012,18,85,48,6,52,67,88,451,77
1019,11,49,35,76,8,60,4,472,45
1013,13,6,42,86,37,87,52,472,27
1018,22,56,60,29,19,67,53,447,15
1008,26,43,77,17,67,92,59,431,26
1018,12,2,44,77,64,76,1,469,41
1005,30,17,75,8,17,55,89,438,89
1017,21,55,60,27,42,92,59,443,93
1009,23,48,72,99,61,88,16,437,1
1008,21,19,52,3,24,79,19,447,6
1017,13,61,42,34,57,91,35,465,65
1019,9,82,36,18,18,65,8,475,21
1018,8,2,39,4,49,68,7,479,53
1019,11,2,41,54,94,67,18,479,3
1012,29,21,72,25,72,71,85,434,64
1015,22,21,48,14,8,66,8,448,33
1011,11,34,43,67,54,87,95,472,77
1008,19,13,50,78,51,87,54,447,3
1017,15,19,42,3,38,71,66,462,64
1006,27,49,71,94,62,73,35,435,29
1015,16,57,43,7,67,71,95,465,78
1015,9,38,43,7,45,90,47,481,52
1022,6,43,36,8,73,85,3,486,39
1008,11,86,40,27,6,72,91,474,57
1021,10,42,41,46,4,89,16,479,24
1007,29,85,68,24,1,30,99,433,43
1007,23,1,59,43,36,85,96,440,64
1017,22,25,60,77,8,82,19,444,5
1013,11,43,44,78,43,82,45,471,9
1009,18,6,50,16,52,100,9,450,53
1003,30,52,70,4,9,64,33,438,29
1009,16,58,45,87,66,97,59,457,8
1009,29,72,68,24,92,66,42,426,54
1005,25,6,73,67,78,84,82,433,25
1016,22,18,65,46,74,54,2,447,92
1010,17,89,44,78,3,53,78,457,74
1013,26,56,56,57,73,63,9,442,74
1010,29,6,69,82,49,61,66,438,47
1019,10,96,41,93,28,87,38,473,28
1011,19,78,54,42,74,89,34,456,84
1017,25,79,75,6,46,75,63,434,65
1017,13,9,54,3,61,82,38,471,
1009,24,4,71,14,7,59,26,436,68
1015,8,27,35,77,3,73,36,478,13
1014,22,86,58,96,3,54,96,451,82
1023,12,57,39,18,9,77,28,471,87
1007,12,65,44,3,13,85,23,466,1
1022,7,4,40,72,56,87,67,484,29
1010,30,36,68,8,76,51,32,429,97
1023,12,71,43,8,15,71,16,466,2
1001,18,56,42,18,46,99,59,456,61
1004,26,88,73,56,85,94,36,430,63
1015,15,92,44,85,84,59,99,467,41
1005,29,7,57,35,63,57,35,433,27
1017,9,53,40,23,74,89,5,484,
1007,17,72,39,99,34,72,3,461,7
1014,7,55,39,22,53,77,76,482,19
1012,28,43,73,18,52,71,5,427,11
1016,7,84,40,7,68,47,63,488,7
1025,8,8,39,42,17,68,72,476,5
1006,24,44,52,84,39,49,5,440,2
1015,13,97,38,47,15,55,28,464,3
1019,5,89,35,77,78,79,58,479,86
1010,24,3,62,44,96,79,88,430,66
1000,25,43,70,17,46,87,84,436,43
1021,5,74,37,8,37,74,47,490,81
1018,19,44,59,21,5,88,35,448,4
42,14,72,39,1016,76,42,464,93,
1019,19,15,57,76,62,74,89,458,66
1006,19,96,39,53,16,62,77,460,49
1010,9,8,42,49,67,85,35,481,46
1018,6,57,43,65,24,74,47,481,46
1010,18,94,46,93,22,75,45,441,41
1012,4,87,42,85,69,94,72,482,5
1024,9,37,40,11,94,75,3,471,13
1019,9,6,39,3,73,84,23,480,41
1020,18,88,62,96,62,82,1,456,18
1004,28,47,67,69,79,56,51,430,67
1007,25,67,69,88,84,83,32,441,35
1019,24,31,63,86,47,58,54,442,69
1015,16,7,50,88,11,97,25,456,18
1018,25,4,63,86,92,52,79,441,6
1007,20,97,47,43,64,71,18,448,22
1015,14,44,41,2,96,81,97,469,85
1009,23,54,67,83,44,65,48,426,24
1015,9,68,41,44,19,87,34,479,89
1001,5,85,41,55,95,99,41,484,47
1024,13,68,45,8,91,85,26,467,2
1017,23,16,57,76,74,63,79,451,79
1011,30,88,69,51,48,46,58,433,14
1020,9,76,40,71,88,91,82,470,95
1010,33,58,77,54,19,53,49,433,75
1019,18,22,44,34,35,56,78,469,27
1008,22,55,47,45,65,67,9,447,42
1010,34,43,68,51,17,34,9,431,39
1013,26,57,48,6,23,40,24,439,54
1010,20,92,70,2,23,95,58,444,64
1015,15,7,43,48,22,57,74,459,96
1026,9,47,41,4,21,89,8,480,79
1008,27,34,71,64,12,72,22,438,76
1012,22,96,45,1,21,50,81,450,37
1000,28,81,64,96,46,68,5,427,91
32,14,82,40,1016,66,3,458,46,
1017,24,92,63,94,7,44,92,441,7
1007,26,86,71,14,11,76,61,426,97
1013,32,12,69,98,31,54,3,429,86
1022,5,71,40,77,49,87,9,487,48
1004,26,43,66,48,36,55,9,435,59
1017,21,4,59,21,84,78,1,444,15
1015,24,55,58,86,22,60,53,445,8
1010,26,41,68,24,6,77,79,428,52
1014,21,97,58,12,21,85,93,448,91
1018,24,6,48,78,1,73,71,442,23
1014,9,13,39,16,14,86,17,484,86
1020,18,92,44,63,32,47,81,451,64
1014,24,88,63,31,23,55,76,441,54
1002,27,4,69,84,98,76,48,430,54
1013,21,45,45,9,83,52,26,453,15
1010,21,33,60,1,97,78,36,451,95
1016,17,1,48,98,48,85,63,454,43
1018,9,86,41,1,49,98,71,467,37
1019,21,5,59,87,5,76,56,444,5
1012,25,38,65,34,87,62,49,447,41
1009,24,53,74,78,9,78,34,446,3
1007,27,16,71,32,81,89,7,430,53
1013,25,51,64,27,28,61,85,444,76
1020,19,4,64,63,38,81,1,453,84
1007,30,85,68,94,31,68,99,426,1
1023,7,82,41,16,3,87,7,475,66
1010,26,92,63,73,29,68,6,440,35
1020,11,57,41,54,13,69,14,476,89
1010,19,39,60,1,28,83,31,452,57
1009,29,37,74,78,47,55,65,434,2
1014,31,84,77,95,9,55,35,433,28
1007,31,6,67,17,62,65,54,437,91
1019,13,49,44,63,12,70,2,471,8
1008,22,7,50,78,6,61,33,449,96
1018,9,72,39,66,31,76,7,480,5
1012,20,42,45,1,23,66,5,451,28
1018,6,45,35,77,86,67,84,483,12
1007,13,2,40,83,75,94,98,472,41
1005,18,9,47,83,31,77,79,455,94
1011,20,31,49,69,57,69,3,455,37
1004,6,33,42,7,25,77,1,484,57
1016,11,37,39,16,54,87,5,480,54
1016,18,64,43,79,1,51,17,465,13
1013,24,75,69,45,97,53,49,438,28
1018,7,5,43,65,41,72,36,480,47
1014,5,49,40,81,43,90,41,487,36
1007,26,3,59,7,84,78,32,441,94
1009,27,98,74,78,46,63,11,436,82
1017,19,54,54,9,15,70,37,455,86
1021,16,37,43,5,26,72,4,459,18
1014,20,6,45,38,93,75,78,460,24
1006,27,23,71,77,59,77,94,427,39
1011,16,55,41,66,45,55,53,465,14
1008,32,7,71,29,43,44,95,426,96
1017,25,23,60,84,79,56,42,442,2
1012,29,22,73,18,22,64,91,430,57
1017,21,23,50,59,42,69,26,453,95
1013,10,35,37,14,37,69,26,472,63
1007,21,49,56,9,47,66,66,452,46
1009,23,82,63,76,8,68,94,440,52
1011,25,36,61,41,89,55,64,452,29
1003,26,89,49,16,84,41,22,442,39
1007,24,65,72,43,99,90,5,437,59
1009,21,39,52,3,52,88,67,447,77
1020,7,85,37,8,9,59,19,478,68
1009,29,7,72,51,24,58,38,439,8
1003,23,45,69,5,3,66,41,440,24
1024,14,49,44,84,9,86,55,465,72
1026,9,75,40,81,84,44,481,95,
1024,16,94,49,64,43,69,22,459,25
1014,27,5,65,34,93,47,46,439,59
2,13,79,40,1016,70,17,461,16,
1008,26,98,72,58,55,78,5,431,12
1031,8,96,40,2,21,82,32,475,47
1029,5,97,36,25,65,86,74,487,3
1015,25,1,69,89,42,85,81,434,98
1019,14,84,44,63,28,57,37,466,
1016,15,55,40,66,21,88,5,457,53
1028,8,5,40,8,1,89,56,483,43
1022,15,9,41,76,4,76,22,463,27
1008,23,3,72,99,54,92,11,437,62
1013,21,77,42,23,3,67,44,462,51
1007,6,86,42,49,95,93,96,486,14
1013,9,57,39,82,12,89,15,468,2
1010,18,96,50,16,72,100,9,451,2
1012,19,82,41,67,92,51,92,456,87
1002,22,8,41,1,19,46,69,455,4
1011,17,31,58,49,8,92,77,456,84
1005,18,32,47,83,6,87,21,454,11
1006,27,75,70,4,65,90,21,436,53
1004,26,13,71,64,16,87,18,439,73
1010,29,45,74,16,49,64,87,438,11
1012,23,63,73,18,29,88,81,437,7
1017,24,11,68,3,33,79,16,432,62
1003,25,72,72,39,1,86,38,432,77
1024,14,96,41,76,7,73,17,463,26
1007,28,32,72,58,77,78,35,428,6
1010,26,94,68,24,49,76,58,430,34
1012,13,44,39,39,93,84,29,469,67
1013,24,33,46,93,61,53,2,450,4
1021,22,6,64,15,7,68,66,451,44
1007,27,89,70,94,54,49,18,435,21
1005,8,47,42,2,37,92,73,477,67
1016,24,74,63,87,91,55,65,447,2
1014,8,5,39,16,1,86,64,485,76
1017,24,19,58,95,78,58,78,441,91
1006,32,31,68,94,11,71,78,431,14
1030,12,2,41,92,1,84,45,465,82
1006,22,66,69,84,16,82,79,439,6
1025,14,1,44,84,9,79,42,468,22
1007,26,78,73,6,99,90,47,433,25
1010,31,6,73,17,5,43,48,433,37
1007,29,3,74,16,72,81,92,431,32
1006,29,12,66,56,9,49,79,429,94
1012,17,54,58,49,35,91,56,453,2
1003,31,9,69,4,4,57,76,436,4
1006,28,83,72,43,69,67,4,428,85
1,10,45,40,1019,89,1,465,43,
1020,17,79,44,9,5,69,72,457,72
1020,17,58,44,9,52,71,48,459,78
1020,18,9,62,96,69,80,57,455,88
1013,23,28,69,51,31,53,444,17,
1009,18,81,61,87,71,70,47,448,49
1009,7,46,41,26,63,96,51,482,83
1015,22,89,65,34,53,61,450,53,
1015,9,88,40,71,34,84,32,471,8
1018,17,59,65,48,96,81,34,454,51
1010,23,97,64,33,54,84,65,443,87
1013,11,95,41,48,44,74,83,465,41
1019,22,12,49,39,8,72,83,451,
1015,9,5,40,67,57,75,48,486,55
1009,27,6,69,34,63,71,58,440,6
1017,16,52,44,88,61,90,8,459,73
1020,5,84,41,38,34,82,41,489,4
1012,10,77,44,78,87,84,16,470,66
1013,21,95,50,66,92,70,94,455,23
1010,23,9,70,2,58,77,85,443,27
1007,12,31,44,3,78,94,42,468,13
1012,14,29,39,59,36,92,38,463,13
1020,11,65,41,54,9,67,96,476,4
1011,23,15,58,79,11,82,49,447,71
1011,12,14,48,4,8,100,13,465,8
1006,30,26,71,77,24,58,98,429,27
1022,16,74,38,1,63,69,19,463,61
1014,20,67,57,5,42,81,89,453,29
1016,20,21,59,14,70,38,448,79,
1016,25,2,60,77,71,69,85,441,21
1010,24,82,66,54,60,36,440,88,
1011,23,14,62,26,87,66,44,444,38
1017,21,84,60,29,23,66,89,454,4
1002,26,11,69,84,57,84,99,427,45
996,10,67,42,2,55,99,94,472,65
1012,14,93,42,44,65,86,8,471,24
1011,22,19,70,2,3,82,49,444,85
1006,29,27,64,69,85,55,79,438,23
1007,22,47,47,45,62,76,65,447,14
1008,31,95,70,8,38,66,26,432,79
1008,29,74,70,32,1,52,72,432,69
5,18,1,45,1023,48,41,465,46,
1008,25,35,66,56,75,66,88,436,51
1023,10,48,36,71,18,81,37,473,3
1004,26,96,72,86,86,59,17,441,12
1009,17,76,42,42,9,66,26,468,27
1022,9,68,40,77,4,85,23,473,73
1009,9,84,40,22,5,85,38,479,65
1011,14,52,40,35,11,69,84,470,8
1013,23,49,42,8,96,65,31,459,9
48,14,53,39,1016,76,36,464,86,
1001,17,49,40,55,73,73,15,462,37
1020,10,46,41,26,65,92,24,473,76
1008,13,86,40,83,76,82,4,470,37
999,30,68,71,25,98,68,99,433,47
1017,10,48,41,93,17,92,81,480,1
1008,23,66,77,54,5,85,32,435,38
1013,23,85,69,45,99,60,6,439,67
1008,30,89,74,87,99,56,58,432,68
1016,14,3,53,82,64,63,9,465,42
1008,23,98,50,32,41,67,75,443,45
1011,33,72,74,33,4,37,51,428,96
1014,9,76,39,16,19,85,4,482,38
1008,9,46,42,28,67,78,16,481,95
1013,14,43,38,91,28,70,26,468,83
1017,5,86,40,62,3,85,6,480,71
1022,10,57,36,71,62,80,49,473,88
1017,28,69,67,25,71,53,83,432,21
1008,13,27,42,28,3,86,2,468,86
1008,13,52,40,83,31,84,14,471,95
1012,28,1,73,18,25,75,2,431,2
1020,13,13,50,59,26,87,44,470,3
1028,14,43,44,47,57,70,7,466,56
1022,7,84,43,52,23,96,51,483,79
1009,26,6,71,73,65,77,2,432,38
1017,18,93,44,6,58,68,23,454,75
1021,13,63,40,92,89,80,5,462,4
1013,28,2,68,8,44,44,46,434,95
1027,9,45,41,4,34,86,66,475,49
1015,29,27,69,89,21,67,16,425,55
1013,21,38,58,33,5,72,75,446,8
1003,31,85,73,91,6,60,22,431,26
1020,11,82,41,26,74,91,14,466,95
1013,22,64,63,73,88,84,22,447,21
1010,22,72,69,13,81,92,43,438,1
66,27,71,25,1002,70,59,437,22,
1009,29,55,66,25,38,69,55,436,29
1009,23,56,71,85,67,74,78,439,48
48,12,41,17,1019,58,71,474,4,
1013,26,1,63,56,12,61,442,75,
1012,24,88,73,17,26,84,96,434,85
1008,26,4,48,41,51,66,95,442,23
1012,25,69,57,32,34,44,18,441,43
1009,22,1,65,94,79,67,57,443,95
1011,24,47,58,5,27,71,7,446,93
1009,12,7,39,99,7,93,27,473,6
1007,19,89,51,43,38,91,79,448,85
1019,9,17,40,67,3,66,21,487,33
1023,12,85,40,92,4,84,4,461,5
1026,5,23,35,57,23,79,38,488,5
1011,12,43,41,62,87,80,57,460,61
1018,12,93,41,39,5,80,28,472,57
1025,9,3,40,71,98,81,94,484,97
1016,31,73,74,67,38,44,51,425,34
1010,25,63,71,58,14,87,57,433,76
1012,22,7,61,41,8,78,8,449,75
1006,32,6,69,88,88,63,53,432,47
1020,24,8,64,63,69,55,74,447,82
1017,23,47,60,77,19,75,36,444,46
1013,24,31,65,34,82,63,85,449,88
1012,23,2,63,47,21,80,61,443,66
1009,34,9,68,51,32,96,431,19,
1016,17,75,42,24,86,61,52,468,86
1000,31,8,69,5,77,49,82,426,5
1008,6,62,42,49,74,94,57,482,74
1023,8,51,41,26,17,87,79,477,51
1016,27,41,74,67,57,80,16,429,21
1003,31,27,73,91,72,68,92,430,59
1026,17,45,49,64,4,66,67,454,67
1009,22,63,57,17,83,77,43,433,54
1015,10,7,39,66,37,83,78,479,64
1013,26,12,68,51,6,68,96,433,11
1019,12,28,42,34,19,95,8,467,3
1011,23,89,70,4,16,84,9,433,71
1019,14,8,42,77,14,76,53,462,29
63,15,45,45,1023,70,74,469,54,
1009,23,9,51,19,4,81,61,443,22
1015,24,92,73,68,12,93,68,438,23
1024,13,15,40,78,13,79,59,462,3
1009,18,6,58,71,8,86,42,430,38
1011,24,88,51,43,28,67,38,441,3
1013,11,36,38,25,22,86,16,473,55
1003,17,12,68,28,56,94,29,449,94
1015,22,1,68,63,19,59,5,449,54
23,25,69,71,1009,80,92,438,38,
1007,21,4,47,43,15,64,82,450,27
1013,26,85,63,56,25,52,84,444,39
1015,14,87,42,18,23,74,41,465,89
1014,32,21,68,3,94,49,38,429,66
1012,25,87,57,32,6,44,13,442,87
1017,19,98,60,77,72,90,71,448,46
1019,19,26,44,34,45,51,32,467,72
1006,16,75,36,99,42,87,18,464,18
1011,15,37,41,96,58,96,76,466,2
1007,27,96,77,24,23,78,51,433,35
1014,20,27,63,56,24,86,55,446,93
1010,24,66,66,49,83,70,6,438,1
1010,25,53,59,57,65,82,4,445,59
1014,25,43,60,95,62,51,39,444,65
1015,14,48,46,18,83,92,15,462,3
1015,19,5,65,12,53,73,87,453,99
1022,10,27,38,38,16,70,77,475,58
1005,17,98,39,63,42,82,12,466,69
1020,12,38,44,2,23,81,5,467,4
1012,26,61,56,85,48,48,84,437,26
1011,24,5,72,24,32,88,94,437,81
1005,15,9,41,35,35,92,89,464,93
1008,31,65,66,25,57,59,5,437,35
999,11,2,42,2,99,96,69,472,27
1010,14,96,39,31,52,71,28,461,97
1008,19,51,44,5,52,78,38,451,7
1007,27,57,70,36,18,71,1,441,86
1012,26,31,77,95,45,77,22,436,83
999,29,59,70,17,71,71,434,85,
1018,10,14,45,1,12,94,32,473,56
1020,9,44,41,79,16,72,26,474,3
1021,13,69,41,74,19,60,86,471,84
1002,23,4,49,16,85,69,82,446,5
1012,12,42,38,25,76,82,23,472,3
1011,21,81,43,77,97,64,72,453,13
1008,33,2,70,8,75,59,41,430,71
1014,22,6,45,61,3,77,75,455,61
1011,27,86,63,7,11,56,81,440,48
1010,27,75,66,54,21,46,37,437,58
1016,20,98,60,7,26,67,18,446,26
1018,17,55,43,14,86,76,461,58,
1017,6,5,38,68,46,66,13,483,5
1014,17,25,39,39,27,67,8,465,74
1013,21,54,58,41,99,86,34,450,69
1012,29,64,69,51,13,44,65,428,69
1006,16,7,36,99,19,89,33,464,7
1012,19,69,57,32,41,75,51,449,59
1020,19,61,56,65,64,63,74,457,41
1002,6,26,41,31,4,87,54,485,57
1021,6,9,40,71,78,94,8,471,43
1017,19,12,58,79,34,92,45,447,2
1016,12,23,43,69,46,84,4,471,62
1011,10,87,37,5,43,95,56,474,7
1017,20,56,60,8,79,78,8,452,8
1004,31,61,75,8,83,42,29,436,67
1030,14,66,41,92,81,68,88,464,57
1010,19,4,50,12,53,100,9,446,59
1023,14,32,45,8,24,84,53,467,21
1013,18,36,53,16,31,83,18,458,47
1012,31,74,72,25,21,41,62,437,29
1004,19,6,44,63,23,84,43,456,54
1023,14,43,45,8,23,83,98,465,7
1016,12,5,40,55,63,100,14,472,19
1012,17,98,56,85,28,84,52,448,71
1003,28,18,49,3,97,55,56,438,91
1010,23,3,44,89,26,59,85,447,81
1007,15,78,48,6,24,84,23,460,86
1014,24,45,66,49,24,58,15,449,22
1020,18,5,56,3,69,77,87,459,9
1017,14,2,38,62,83,77,57,465,29
1012,16,73,37,2,94,74,4,463,89
1011,13,72,41,62,14,75,79,455,52
1012,27,38,59,21,74,53,53,437,78
1020,10,99,44,63,67,90,9,473,29
1013,26,15,64,27,3,59,77,439,11
1020,17,4,63,9,84,92,58,453,
1010,24,29,63,57,29,87,3,443,28
1010,29,1,68,8,74,52,51,427,91
1023,12,27,43,8,21,57,468,55,
1018,16,9,44,88,14,72,21,466,8
1010,29,39,71,14,97,53,88,430,5
1011,25,45,75,23,41,73,33,441,65
1009,27,88,62,66,51,56,44,441,32
1018,18,2,49,39,83,96,3,455,86
1025,12,59,41,14,79,86,55,465,74
1008,19,3,44,9,89,70,55,452,75
1006,18,4,40,79,18,92,36,461,29
1016,14,83,53,82,57,63,47,464,
1016,20,47,58,16,97,68,6,453,99
1008,28,65,70,32,46,58,13,433,45
1007,28,92,72,43,3,66,14,431,5
1011,28,64,73,4,48,52,84,441,32
1007,12,74,44,3,62,97,64,463,96
1008,10,57,41,26,32,97,96,472,9
1000,30,56,71,25,3,70,55,431,92
1013,13,8,40,2,12,90,59,466,29
1020,5,29,41,38,62,83,83,492,12
1007,33,59,79,5,79,63,55,436,51
1020,6,13,40,64,69,94,57,481,13
1015,18,51,48,6,14,79,83,455,44
1005,32,8,68,67,27,44,53,432,28
1011,24,18,58,49,3,77,82,445,49
1012,17,92,50,66,62,93,456,84,
1005,6,13,39,48,17,53,5,484,12
1013,24,43,65,27,25,55,4,440,99
1006,28,88,66,56,26,59,15,426,66
1022,13,86,44,21,6,83,56,468,3
1013,20,95,48,14,3,67,72,452,38
12,27,59,15,1013,61,39,440,58,
1015,9,7,36,3,26,56,81,479,98
1012,19,41,67,32,34,78,8,446,71
1007,33,61,69,88,4,42,51,435,99
1016,20,84,59,8,96,75,5,451,13
1014,23,31,68,63,73,51,57,448,2
1018,9,45,43,5,89,84,29,476,1
1027,13,78,44,47,94,71,9,467,22
1013,21,71,58,5,7,85,75,449,38
1013,18,88,44,6,81,68,54,451,13
1009,22,58,52,3,4,78,99,445,6
1013,12,51,43,67,24,91,55,471,96
1007,30,63,74,22,47,46,52,430,38
1015,27,75,66,51,42,39,433,8,
1006,25,32,60,37,19,73,94,438,5
1011,13,85,48,6,13,75,2,462,39
1002,23,19,48,6,38,61,19,445,52
1021,16,18,43,99,97,80,96,460,81
1017,9,98,39,66,32,77,78,481,64
1008,28,87,72,58,69,79,34,428,89
1020,19,5,62,96,48,83,4,454,26
1012,19,83,59,44,98,91,24,446,15
1007,26,39,49,2,62,70,82,438,53
1017,12,25,48,79,44,88,91,469,52
1006,26,93,56,9,25,77,79,444,7
1009,27,16,47,43,17,45,79,442,85
1003,28,16,70,4,77,83,17,434,1
1017,10,32,41,46,98,87,66,479,61
1016,7,77,35,77,53,73,79,479,68
1024,10,13,39,18,9,85,48,479,42
1012,11,2,43,2,32,66,54,478,81
1014,30,24,67,32,7,46,53,437,18
1014,18,74,45,9,24,41,54,456,25
1013,23,26,63,56,64,71,3,446,67
1013,18,21,49,69,54,80,16,454,25
1018,23,97,63,86,9,57,62,441,65
1013,18,91,43,14,56,58,34,460,19
1008,21,65,58,18,33,95,28,441,5
1013,31,67,69,89,88,39,33,426,35
48,32,58,9,1003,51,38,437,81,
21,12,41,5,1013,86,75,473,68,
1009,27,11,70,4,76,71,25,431,96
1006,23,75,67,9,25,70,17,445,22
1013,28,26,69,23,1,42,1,436,31
1010,29,96,70,4,15,54,47,427,1
1010,9,27,39,64,79,79,56,480,29
1008,31,35,71,97,29,72,26,430,16
1005,25,85,70,36,59,78,23,433,6
1009,13,69,43,22,94,74,64,466,72
1005,22,48,50,5,55,82,36,442,56
1008,10,63,37,5,93,98,14,474,81
1011,28,61,68,12,71,47,57,432,94
1021,16,32,43,5,3,72,6,460,7
1012,25,46,56,89,59,62,9,443,5
1012,27,61,69,68,79,77,1,438,31
1006,29,79,67,69,86,55,93,428,71
1026,7,32,39,42,15,76,51,476,12
1012,26,35,59,44,16,63,73,443,73
1011,25,97,43,21,9,88,73,434,83
96,7,33,40,1018,80,76,478,16,
1009,27,5,77,95,57,76,56,434,9
1017,22,22,59,14,32,83,41,442,31
1013,25,54,61,8,14,71,15,447,6
1011,23,44,72,24,28,88,3,438,34
1022,15,51,41,76,81,69,55,463,82
1019,21,89,63,94,55,55,9,447,74
1021,6,84,41,6,4,89,59,489,96
1008,25,24,71,14,73,79,39,435,9
1010,30,38,71,58,17,50,45,433,75
1013,16,91,43,96,32,79,87,465,86
1019,13,75,41,49,9,88,23,469,2
1017,22,93,58,2,75,54,9,444,95
1018,6,93,43,13,61,88,31,486,94
1011,20,4,48,92,14,68,92,447,89
1015,9,37,42,32,15,82,96,477,57
1007,20,76,58,18,8,99,22,449,25
1010,31,17,69,51,51,43,11,428,94
1011,21,74,70,32,88,85,95,439,19
1007,13,24,40,83,9,87,53,472,22
1005,21,28,44,5,69,83,2,444,56
1019,24,92,63,86,19,59,24,440,93
1016,9,37,38,56,84,62,7,482,77
1006,22,3,59,43,88,82,5,442,9
1018,25,77,65,48,7,51,47,440,96
1006,23,5,68,67,69,76,43,447,34
1009,31,5,62,7,35,55,27,441,67
1015,19,51,66,51,28,80,75,448,4
1002,22,47,48,6,33,63,23,445,98
1011,15,37,43,67,9,91,48,468,23
1007,27,96,68,51,26,63,21,432,7
1009,24,73,70,72,82,88,79,439,3
1007,24,43,47,45,68,65,18,446,45
1017,25,64,63,87,14,49,25,444,34
1025,10,82,39,96,53,95,89,468,57
1012,6,79,38,5,61,72,46,488,69
1019,20,41,56,3,94,55,85,458,29
1003,31,58,66,54,26,54,429,73,
1014,22,85,59,15,74,63,92,448,61
1007,25,41,68,94,21,69,2,436,95
1016,14,41,40,71,78,69,77,467,1
1011,3,4,39,64,1,83,43,459,86
1009,28,12,44,89,18,47,14,441,13
1007,28,7,70,32,17,67,2,430,29
1014,22,61,54,42,74,75,87,453,86
1017,22,88,65,48,33,66,26,447,14
1014,19,24,56,89,29,72,97,452,64
1012,21,31,58,5,94,88,39,446,76
1020,24,15,64,63,72,58,6,448,87
1012,21,62,58,59,93,67,5,445,92
1013,23,84,49,21,85,50,36,447,9
1012,19,59,66,54,73,85,84,447,16
1010,12,75,39,58,8,77,31,473,46
1011,26,68,68,8,41,67,33,433,4
1017,10,63,40,67,13,66,12,483,27
1013,20,3,66,86,5,64,59,450,93
1012,18,78,54,2,5,89,25,448,4
1006,25,6,56,9,35,81,58,437,82
1012,21,29,59,4,49,84,23,445,37
1027,6,4,41,14,8,86,4,480,39
1,15,2,39,1016,72,76,463,88,
1019,19,77,49,39,2,91,3,451,5
1010,31,98,73,42,66,60,6,432,2
1014,8,36,40,67,99,73,65,489,1
1032,8,68,41,82,83,73,62,478,61
1015,11,64,40,1,5,87,5,477,2
1018,11,49,44,2,79,91,14,475,51
1007,26,2,71,14,92,72,95,431,7
1004,30,51,70,79,55,56,5,428,79
1012,12,49,38,25,61,83,32,470,63
1030,9,42,41,4,38,87,8,472,99
1008,28,41,61,47,94,56,56,442,54
1012,34,66,74,33,32,19,425,89,
1020,8,27,40,69,13,86,1,484,97
1016,25,38,74,67,61,81,34,435,41
1003,25,65,49,3,73,68,48,440,5
1013,28,4,74,33,53,48,65,432,92
1013,21,43,46,97,94,61,25,457,68
1011,28,25,66,54,2,43,77,439,67
1017,18,51,58,46,21,88,1,448,39
1020,6,58,40,67,18,71,7,494,84
1005,24,49,70,79,51,88,65,430,54
1026,9,82,41,4,72,77,28,473,98
1010,18,88,65,94,43,85,54,445,61
1018,11,53,41,39,39,85,52,474,49
1016,14,69,53,82,54,63,49,463,52
1007,27,33,68,94,4,61,83,431,96
1015,17,86,50,88,59,88,28,457,33
1003,31,59,58,9,39,47,6,440,52
1006,21,13,47,43,97,64,26,448,83
1008,29,72,71,97,6,79,25,431,22
1010,29,3,67,79,86,54,3,445,3
1014,8,94,43,13,82,76,66,483,63
1012,19,9,43,14,34,45,75,463,3
1014,23,3,54,42,42,74,98,453,77
1011,15,15,39,58,94,73,63,466,78
1010,25,73,66,54,7,55,97,437,7
1007,32,38,77,24,7,61,15,430,96
1012,22,69,64,45,82,45,3,450,65
1014,25,3,57,5,96,62,23,449,48
1017,15,46,42,7,9,81,12,459,15
1012,22,72,58,82,54,77,72,448,67
1012,8,53,43,14,25,78,88,480,8
1010,16,82,41,66,49,63,14,465,64
1017,19,45,58,95,79,93,46,445,1
1018,13,72,34,3,57,65,95,469,25
1013,9,44,39,82,26,91,55,483,18
1013,22,58,41,54,21,71,33,460,95
1008,16,36,39,99,91,72,48,462,5
1011,29,62,71,8,5,63,13,438,55
1002,26,13,73,21,12,92,2,435,34
1006,12,2,39,69,5,84,66,470,17
1020,16,2,44,21,97,85,64,462,51
1003,22,9,49,3,45,80,95,441,77
1004,18,81,52,8,43,99,6,450,87
1006,31,26,76,9,66,63,91,430,36
1021,10,7,40,92,84,84,18,471,71
1016,15,28,44,58,45,83,7,467,92
1014,17,29,42,86,38,72,3,464,27
1011,14,6,39,31,11,72,52,464,16
1016,18,43,57,76,13,87,34,452,65
1009,17,3,43,72,64,77,86,456,55
1013,19,84,56,89,23,78,32,447,92
1006,29,42,56,9,51,53,6,439,51
1021,14,4,44,21,93,86,12,468,64
1015,9,51,40,81,69,82,52,475,29
1008,30,29,74,16,77,75,23,431,39
1023,14,55,44,84,83,87,6,465,14
1023,16,58,38,1,5,60,14,464,3
